MessageID	Count	Timestamp	Payload
1	1	00:33:28.312633	1,186
2	2	00:33:28.529223	2,68
3	3	00:33:28.731196	3,-251
4	4	00:33:28.933167	4,47
5	5	00:33:29.135348	5,-180
6	6	00:33:29.337318	6,170
7	7	00:33:29.539284	7,60
8	8	00:33:29.741252	8,-177
9	9	00:33:29.942751	9,-157
10	10	00:33:30.144609	10,-240
11	11	00:33:30.346273	11,-54
12	12	00:33:30.548149	12,257
13	13	00:33:30.751234	13,118
14	14	00:33:30.954819	14,137
15	15	00:33:31.156583	15,61
16	16	00:33:31.358554	16,110
17	17	00:33:31.560051	17,-66
18	18	00:33:31.762511	18,-7
19	19	00:33:31.964055	19,-55
20	20	00:33:32.165848	20,-269
21	21	00:33:32.367313	21,-97
22	22	00:33:32.568776	22,218
23	23	00:33:32.770239	23,-221
24	24	00:33:32.971732	24,-26
25	25	00:33:33.173710	25,-60
26	26	00:33:33.375177	26,93
27	27	00:33:33.576645	27,-132
28	28	00:33:33.778615	28,-194
29	29	00:33:33.980084	29,-170
30	30	00:33:34.181593	30,-5
31	31	00:33:34.383558	31,-101
32	32	00:33:34.585022	32,-286
33	33	00:33:34.786487	33,-235
34	34	00:33:34.987953	34,94
35	35	00:33:35.189941	35,-229
36	36	00:33:35.391406	36,244
37	37	00:33:35.592876	37,172
38	38	00:33:35.794347	38,214
39	39	00:33:35.995811	39,155
40	40	00:33:36.197464	40,268
41	41	00:33:36.399430	41,-118
42	42	00:33:36.600894	42,-207
43	43	00:33:36.802361	43,-231
44	44	00:33:37.003825	44,-131
45	45	00:33:37.205301	45,187
46	46	00:33:37.407266	46,43
47	47	00:33:37.608734	47,-5
48	48	00:33:37.810733	48,286
49	49	00:33:38.012799	49,-223
50	50	00:33:38.214441	50,-227
51	51	00:33:38.416239	51,-124
52	52	00:33:38.618062	52,161
53	53	00:33:38.819811	53,53
54	54	00:33:39.021304	54,74
55	55	00:33:39.223114	55,119
56	56	00:33:39.426526	56,-160
57	57	00:33:39.628709	57,207
58	58	00:33:39.830199	58,184
59	59	00:33:40.031687	59,75
60	60	00:33:40.233332	60,55
61	61	00:33:40.435433	61,-228
62	62	00:33:40.637517	62,13
63	63	00:33:40.840786	63,-108
64	64	00:33:41.047463	64,227
65	65	00:33:41.250374	65,-190
66	66	00:33:41.452043	66,48
67	67	00:33:41.654655	67,254
68	68	00:33:41.856704	68,124
69	69	00:33:42.060224	69,109
70	70	00:33:42.263667	70,50
71	71	00:33:42.467789	71,-246
72	72	00:33:42.670144	72,21
73	73	00:33:42.872243	73,257
74	74	00:33:43.077780	74,-10
75	75	00:33:43.279247	75,-50
76	76	00:33:43.480932	76,238
77	77	00:33:43.682592	77,-5
78	78	00:33:43.884696	78,-76
79	79	00:33:44.086401	79,141
80	80	00:33:44.288067	80,-268
81	81	00:33:44.490029	81,230
82	82	00:33:44.691714	82,-236
83	83	00:33:44.894699	83,66
84	84	00:33:45.096379	84,254
85	85	00:33:45.298187	85,214
86	86	00:33:45.500130	86,-3
87	87	00:33:45.702154	87,-114
88	88	00:33:45.903964	88,-288
89	89	00:33:46.156411	89,-53
90	90	00:33:46.360505	90,39
91	91	00:33:46.562977	91,-143
92	92	00:33:46.765978	92,-148
93	93	00:33:46.968486	93,177
94	94	00:33:47.170471	94,-229
95	95	00:33:47.372469	95,-116
96	96	00:33:47.574942	96,-152
97	97	00:33:47.776911	97,-200
98	98	00:33:47.978878	98,-288
99	99	00:33:48.180864	99,-195
100	100	00:33:48.383003	100,152
101	101	00:33:48.585000	101,224
102	102	00:33:48.786998	102,185
103	103	00:33:48.988496	103,-83
104	104	00:33:49.190470	104,-99
105	105	00:33:49.391935	105,296
106	106	00:33:49.593519	106,103
107	107	00:33:49.794989	107,-188
108	108	00:33:49.996457	108,-153
109	109	00:33:50.197942	109,225
110	110	00:33:50.399407	110,-163
111	111	00:33:50.601372	111,-4
112	112	00:33:50.802840	112,272
113	113	00:33:51.004307	113,-269
114	114	00:33:51.206000	114,218
115	115	00:33:51.407998	115,-12
116	116	00:33:51.609466	116,198
117	117	00:33:51.810933	117,137
118	118	00:33:52.012400	118,140
119	119	00:33:52.213882	119,-193
120	120	00:33:52.415349	120,-187
121	121	00:33:52.617315	121,-30
122	122	00:33:52.818780	122,122
123	123	00:33:53.020246	123,229
124	124	00:33:53.221756	124,17
125	125	00:33:53.423722	125,150
126	126	00:33:53.625689	126,227
127	127	00:33:53.827155	127,-201
128	128	00:33:54.028621	128,-48
129	129	00:33:54.230102	129,-115
130	130	00:33:54.431597	130,247
131	131	00:33:54.633061	131,103
132	132	00:33:54.834525	132,-261
133	133	00:33:55.036494	133,234
134	134	00:33:55.237973	134,286
135	135	00:33:55.439969	135,-92
136	136	00:33:55.641937	136,127
137	137	00:33:55.843406	137,-206
138	138	00:33:56.044873	138,104
139	139	00:33:56.246675	139,175
140	140	00:33:56.448641	140,298
